,human_ensembl,human_symbol,mouse_ensembl,mouse_symbol,zebrafish_ensembl,zebrafish_symbol,qG0,G1,Late.G1,S,S.G2,G2.M,M.Early.G1
17,ENSG00000148677,ANKRD1,ENSMUSG00000024803,Ankrd1,ENSDARG00000076192,ankrd1b,0,0,1,0,0,0,0
18,ENSG00000011426,ANLN,ENSMUSG00000036777,Anln,ENSDARG00000060917,anln,0,0,0,0,1,1,0
19,ENSG00000136938,ANP32B,ENSMUSG00000028333,Anp32b,ENSDARG00000023330,anp32b,0,0,0,1,1,0,0
20,ENSG00000143401,ANP32E,ENSMUSG00000015749,Anp32e,ENSDARG00000054804,anp32e,0,0,0,0,1,1,0
21,ENSG00000135046,ANXA1,ENSMUSG00000024659,Anxa1,ENSDARG00000026726,anxa1a,0,0,1,0,0,0,0
22,ENSG00000135046,ANXA1,ENSMUSG00000024659,Anxa1,ENSDARG00000100095,anxa1b,0,0,1,0,0,0,0
23,ENSG00000135046,ANXA1,ENSMUSG00000024659,Anxa1,ENSDARG00000098481,anxa1d,0,0,1,0,0,0,0
24,ENSG00000135046,ANXA1,ENSMUSG00000024659,Anxa1,ENSDARG00000104359,anxa1c,0,0,1,0,0,0,0
25,ENSG00000042753,AP2S1,ENSMUSG00000008036,Ap2s1,ENSDARG00000026967,ap2s1,0,0,0,0,1,0,0
26,ENSG00000149089,APIP,ENSMUSG00000010911,Apip,ENSDARG00000003132,apip,1,0,0,0,0,0,0
27,ENSG00000179750,APOBEC3B,missing35,missing35,missing,missing,0,0,0,0,1,1,0
28,ENSG00000165527,ARF6,ENSMUSG00000044147,Arf6,ENSDARG00000101626,arf6a,0,0,0,0,1,0,0
29,ENSG00000198826,ARHGAP11A,ENSMUSG00000041219,Arhgap11a,ENSDARG00000100019,arhgap11a,0,0,0,0,1,1,0
30,ENSG00000275568,ARHGAP11A,ENSMUSG00000041219,Arhgap11a,missing,missing,0,0,0,0,1,1,0
31,ENSG00000150347,ARID5B,ENSMUSG00000019947,Arid5b,missing,missing,0,0,1,0,0,0,0
32,ENSG00000162980,ARL5A,ENSMUSG00000036093,Arl5a,ENSDARG00000018627,arl5a,1,0,0,0,0,0,0
33,ENSG00000170540,ARL6IP1,ENSMUSG00000030654,Arl6ip1,ENSDARG00000054578,arl6ip1,0,0,0,0,0,1,1
34,ENSG00000144746,ARL6IP5,ENSMUSG00000035199,Arl6ip5,ENSDARG00000016238,arl6ip5b,1,0,0,0,0,0,0
35,ENSG00000144746,ARL6IP5,ENSMUSG00000035199,Arl6ip5,ENSDARG00000077044,arl6ip5a,1,0,0,0,0,0,0
36,ENSG00000177917,ARL6IP6,ENSMUSG00000026960,Arl6ip6,ENSDARG00000071013,arl6ip6,0,0,0,1,1,0,0
37,ENSG00000136950,ARPC5L,ENSMUSG00000026755,Arpc5l,ENSDARG00000035433,arpc5lb,0,0,0,0,1,0,0
38,ENSG00000136950,ARPC5L,ENSMUSG00000026755,Arpc5l,ENSDARG00000041720,arpc5la,0,0,0,0,1,0,0
39,ENSG00000104763,ASAH1,ENSMUSG00000031591,Asah1,ENSDARG00000037091,asah1a,1,0,0,0,0,0,0
40,ENSG00000104763,ASAH1,ENSMUSG00000031591,Asah1,ENSDARG00000034817,asah1b,1,0,0,0,0,0,0
41,ENSG00000288210,ASF1B,ENSMUSG00000005470,Asf1b,missing,missing,0,0,0,1,1,0,0
42,ENSG00000105011,ASF1B,ENSMUSG00000005470,Asf1b,ENSDARG00000043713,asf1bb,0,0,0,1,1,0,0
43,ENSG00000105011,ASF1B,ENSMUSG00000005470,Asf1b,ENSDARG00000101037,asf1ba,0,0,0,1,1,0,0
44,ENSG00000066279,ASPM,ENSMUSG00000033952,Aspm,ENSDARG00000103754,aspm,0,0,0,0,1,1,0
45,ENSG00000156802,ATAD2,missing10,missing10,ENSDARG00000076590,atad2,0,0,0,1,1,0,0
46,ENSG00000176208,ATAD5,ENSMUSG00000017550,Atad5,ENSDARG00000101126,atad5b,0,0,0,0,1,0,0
47,ENSG00000176208,ATAD5,ENSMUSG00000017550,Atad5,ENSDARG00000070568,atad5a,0,0,0,0,1,0,0
48,ENSG00000144848,ATG3,ENSMUSG00000022663,Atg3,ENSDARG00000009350,atg3,0,0,0,0,1,0,0
49,ENSG00000069849,ATP1B3,ENSMUSG00000032412,Atp1b3,ENSDARG00000042837,atp1b3b,0,0,0,0,1,0,0
50,ENSG00000069849,ATP1B3,ENSMUSG00000032412,Atp1b3,ENSDARG00000015790,atp1b3a,0,0,0,0,1,0,0
51,ENSG00000113732,ATP6V0E1,ENSMUSG00000015575,Atp6v0e,ENSDARG00000101794,atp6v0e1,1,0,0,0,0,0,0
52,ENSG00000136888,ATP6V1G1,ENSMUSG00000039105,Atp6v1g1,ENSDARG00000022315,atp6v1g1,1,0,0,0,0,0,0
53,ENSG00000087586,AURKA,ENSMUSG00000027496,Aurka,ENSDARG00000012485,aurka,0,0,0,0,0,1,0
54,ENSG00000178999,AURKB,ENSMUSG00000020897,Aurkb,ENSDARG00000037640,aurkb,0,0,0,0,1,1,0
55,ENSG00000095739,BAMBI,ENSMUSG00000024232,Bambi,ENSDARG00000099677,bambib,1,0,0,0,0,0,0
56,ENSG00000095739,BAMBI,ENSMUSG00000024232,Bambi,ENSDARG00000055381,bambia,1,0,0,0,0,0,0
57,ENSG00000175334,BANF1,ENSMUSG00000024844,Banf1,ENSDARG00000037009,banf1,0,0,0,0,0,1,0
58,ENSG00000138376,BARD1,ENSMUSG00000026196,Bard1,ENSDARG00000076733,bard1,0,0,0,0,1,0,0
59,ENSG00000009954,BAZ1B,ENSMUSG00000002748,Baz1b,ENSDARG00000102832,baz1b,0,0,0,0,1,0,0
60,ENSG00000283852,BCAP29,ENSMUSG00000020650,Bcap29,missing,missing,0,0,0,0,1,0,0
61,ENSG00000075790,BCAP29,ENSMUSG00000020650,Bcap29,ENSDARG00000016231,bcap29,0,0,0,0,1,0,0
62,ENSG00000114200,BCHE,ENSMUSG00000027792,Bche,missing,missing,1,0,0,0,0,0,0
63,ENSG00000126453,BCL2L12,ENSMUSG00000003190,Bcl2l12,ENSDARG00000090625,bcl2l12,0,0,0,0,1,1,0
64,ENSG00000133169,BEX1,ENSMUSG00000050071,Bex1,missing,missing,1,0,0,0,0,0,0
65,ENSG00000166681,BEX3,ENSMUSG00000046432,Bex3,missing,missing,0,0,0,0,0,0,0
66,ENSG00000102409,BEX4,ENSMUSG00000047844,Bex4,missing,missing,1,0,0,0,0,0,0
67,ENSG00000015475,BID,ENSMUSG00000004446,Bid,missing,missing,0,0,0,1,0,0,0
68,ENSG00000089685,BIRC5,ENSMUSG00000017716,Birc5,ENSDARG00000075621,birc5a,0,0,0,0,1,1,1
69,ENSG00000135441,BLOC1S1,ENSMUSG00000090247,Bloc1s1,ENSDARG00000014171,bloc1s1,1,0,0,0,0,0,0
70,ENSG00000104765,BNIP3L,ENSMUSG00000022051,Bnip3l,ENSDARG00000028067,bnip3lb,1,0,0,0,0,0,0
71,ENSG00000104765,BNIP3L,ENSMUSG00000022051,Bnip3l,ENSDARG00000025468,bnip3la,1,0,0,0,0,0,0
72,ENSG00000012048,BRCA1,ENSMUSG00000017146,Brca1,missing,missing,0,0,0,1,1,0,0
73,ENSG00000139618,BRCA2,ENSMUSG00000041147,Brca2,ENSDARG00000079015,brca2,0,0,0,1,1,0,0
74,ENSG00000112983,BRD8,ENSMUSG00000003778,Brd8,ENSDARG00000025071,brd8b,0,0,0,0,0,1,0
75,ENSG00000112983,BRD8,ENSMUSG00000003778,Brd8,ENSDARG00000055999,brd8a,0,0,0,0,0,1,0
76,ENSG00000113460,BRIX1,ENSMUSG00000022247,Brix1,ENSDARG00000098935,bxdc2,0,0,0,1,1,0,0
77,ENSG00000133639,BTG1,ENSMUSG00000036478,Btg1,ENSDARG00000027249,btg1,1,1,0,0,0,0,0
78,ENSG00000154640,BTG3,ENSMUSG00000022863,Btg3,ENSDARG00000069065,btg3,0,0,0,1,1,0,0
79,ENSG00000281484,BTG3,ENSMUSG00000022863,Btg3,missing,missing,0,0,0,1,1,0,0
80,ENSG00000169679,BUB1,ENSMUSG00000027379,Bub1,ENSDARG00000077029,bub1,0,0,0,0,0,1,0
81,ENSG00000156970,BUB1B,ENSMUSG00000040084,Bub1b,ENSDARG00000074927,bub1bb,0,0,0,0,0,1,0
82,ENSG00000156970,BUB1B,ENSMUSG00000040084,Bub1b,ENSDARG00000078825,bub1ba,0,0,0,0,0,1,0
83,ENSG00000154473,BUB3,ENSMUSG00000066979,Bub3,ENSDARG00000075883,bub3,0,0,0,0,1,1,0
84,ENSG00000235162,C12orf75,ENSMUSG00000087651,1500009L16Rik,ENSDARG00000100152,missing,0,0,0,0,1,1,0
85,ENSG00000293495,C19orf48P,missing36,missing36,missing,missing,0,0,0,0,0,0,0
86,ENSG00000167747,C19orf48P,missing36,missing36,missing,missing,0,0,0,0,0,0,0
87,ENSG00000116667,C1orf21,ENSMUSG00000032666,1700025G04Rik,ENSDARG00000098592,zgc:92140,1,0,0,0,0,0,0
88,ENSG00000116667,C1orf21,ENSMUSG00000032666,1700025G04Rik,ENSDARG00000029292,zgc:55943,1,0,0,0,0,0,0
89,ENSG00000160298,C21orf58,ENSMUSG00000009114,2610028H24Rik,ENSDARG00000044549,zgc:112416,0,0,0,0,0,1,0
90,ENSG00000164096,C4orf3,ENSMUSG00000054091,1810037I17Rik,missing,missing,1,0,0,0,0,0,0
91,ENSG00000229432,C6orf15,ENSMUSG00000039269,2300002M23Rik,missing,missing,0,1,0,0,0,0,0
92,ENSG00000231624,C6orf15,ENSMUSG00000039269,2300002M23Rik,missing,missing,0,1,0,0,0,0,0
93,ENSG00000204542,C6orf15,ENSMUSG00000039269,2300002M23Rik,missing,missing,0,1,0,0,0,0,0
94,ENSG00000224105,C6orf15,ENSMUSG00000039269,2300002M23Rik,missing,missing,0,1,0,0,0,0,0
95,ENSG00000206461,C6orf15,ENSMUSG00000039269,2300002M23Rik,missing,missing,0,1,0,0,0,0,0
96,ENSG00000225543,C6orf15,ENSMUSG00000039269,2300002M23Rik,missing,missing,0,1,0,0,0,0,0
97,ENSG00000104267,CA2,ENSMUSG00000027562,Car2,ENSDARG00000011166,cahz,1,0,0,0,0,0,0
98,ENSG00000104267,CA2,ENSMUSG00000027562,Car2,ENSDARG00000014488,ca2,1,0,0,0,0,0,0
99,ENSG00000116161,CACYBP,ENSMUSG00000014226,Cacybp,ENSDARG00000014731,cacybp,0,0,0,1,1,0,0
100,ENSG00000105767,CADM4,ENSMUSG00000054793,Cadm4,ENSDARG00000040291,cadm4,1,0,0,0,0,0,0
101,ENSG00000122786,CALD1,ENSMUSG00000029761,Cald1,ENSDARG00000086391,cald1b,0,0,1,1,0,0,0
102,ENSG00000143933,CALM2,ENSMUSG00000036438,Calm2,ENSDARG00000015050,calm2b,0,0,0,0,1,1,0
103,ENSG00000160014,CALM3,ENSMUSG00000019370,Calm3,ENSDARG00000034187,calm1b,0,0,0,0,0,1,0
104,ENSG00000160014,CALM3,ENSMUSG00000019370,Calm3,ENSDARG00000021811,calm1a,0,0,0,0,0,1,0
105,ENSG00000153048,CARHSP1,ENSMUSG00000008393,Carhsp1,missing,missing,0,0,0,1,1,0,0
106,ENSG00000108468,CBX1,ENSMUSG00000018666,Cbx1,ENSDARG00000004189,cbx1a,0,0,0,0,0,1,0
107,ENSG00000108468,CBX1,ENSMUSG00000018666,Cbx1,ENSDARG00000054442,cbx1b,0,0,0,0,0,1,0
108,ENSG00000122565,CBX3,ENSMUSG00000029836,Cbx3,ENSDARG00000003860,cbx3a,0,0,0,0,0,1,0
109,ENSG00000094916,CBX5,ENSMUSG00000009575,Cbx5,ENSDARG00000061187,cbx5,0,0,0,0,1,0,0
110,ENSG00000198937,CCDC167,ENSMUSG00000024018,Ccdc167,ENSDARG00000045850,ccdc167,0,0,0,0,1,1,0
111,ENSG00000122483,CCDC18,ENSMUSG00000056531,Ccdc18,ENSDARG00000101586,si:ch73-389b16.1,0,0,0,0,0,1,0
112,ENSG00000122483,CCDC18,ENSMUSG00000056531,Ccdc18,ENSDARG00000078822,ccdc18,0,0,0,0,0,1,0
113,ENSG00000109881,CCDC34,ENSMUSG00000027160,Ccdc34,ENSDARG00000102725,missing,0,0,0,1,1,1,0
114,ENSG00000109881,CCDC34,ENSMUSG00000027160,Ccdc34,ENSDARG00000098911,ccdc34,0,0,0,1,1,1,0
115,ENSG00000108691,CCL2,ENSMUSG00000035385,Ccl2,ENSDARG00000071499,cxcl32b.1,0,0,1,0,0,0,0
116,ENSG00000142871,CCN1,ENSMUSG00000028195,Ccn1,ENSDARG00000023062,ccn1,0,0,0,0,0,0,0
117,ENSG00000118523,CCN2,ENSMUSG00000019997,Ccn2,ENSDARG00000042934,ccn2a,0,0,0,0,0,0,0
118,ENSG00000133101,CCNA1,ENSMUSG00000027793,Ccna1,ENSDARG00000043236,ccna1,0,0,0,0,0,1,0
119,ENSG00000145386,CCNA2,ENSMUSG00000027715,Ccna2,ENSDARG00000011094,ccna2,0,0,0,0,1,1,0
120,ENSG00000134057,CCNB1,ENSMUSG00000041431,Ccnb1,ENSDARG00000051923,ccnb1,0,0,0,0,0,1,0
121,ENSG00000157456,CCNB2,ENSMUSG00000032218,Ccnb2,ENSDARG00000036180,ccnb2,0,0,0,0,1,1,0
122,ENSG00000110092,CCND1,ENSMUSG00000070348,Ccnd1,ENSDARG00000101637,ccnd1,0,0,1,1,0,0,0
123,ENSG00000105173,CCNE1,ENSMUSG00000002068,Ccne1,ENSDARG00000098622,ccne1,0,0,0,1,0,0,0
124,ENSG00000175305,CCNE2,ENSMUSG00000028212,Ccne2,ENSDARG00000098529,ccne2,0,0,0,1,0,0,0
125,ENSG00000162063,CCNF,ENSMUSG00000072082,Ccnf,ENSDARG00000105046,ccnf,0,0,0,0,0,1,0
126,ENSG00000118816,CCNI,ENSMUSG00000063015,Ccni,ENSDARG00000068214,ccni,1,0,0,0,0,0,0
127,ENSG00000103540,CCP110,ENSMUSG00000033904,Ccp110,ENSDARG00000101309,cp110,0,0,0,0,1,0,0
128,ENSG00000115484,CCT4,ENSMUSG00000007739,Cct4,ENSDARG00000013475,cct4,0,0,0,0,0,0,1
129,ENSG00000150753,CCT5,ENSMUSG00000022234,Cct5,ENSDARG00000045399,cct5,0,0,0,0,0,1,0
130,ENSG00000146731,CCT6A,ENSMUSG00000029447,Cct6a,missing,missing,0,0,0,1,1,0,0
131,ENSG00000167775,CD320,ENSMUSG00000002308,Cd320,missing,missing,0,0,0,0,1,0,0
132,ENSG00000085063,CD59,ENSMUSG00000068686,Cd59b,missing,missing,1,0,0,0,0,0,0
133,ENSG00000019582,CD74,ENSMUSG00000024610,Cd74,ENSDARG00000009087,cd74a,1,0,0,0,0,0,0
134,ENSG00000019582,CD74,ENSMUSG00000024610,Cd74,ENSDARG00000036628,cd74b,1,0,0,0,0,0,0
135,ENSG00000117399,CDC20,ENSMUSG00000006398,Cdc20,ENSDARG00000100741,cdc20,0,0,0,0,0,1,0
136,ENSG00000101224,CDC25B,ENSMUSG00000027330,Cdc25b,missing,missing,0,0,0,0,0,1,0
137,ENSG00000158402,CDC25C,ENSMUSG00000044201,Cdc25c,missing,missing,0,0,0,0,0,1,0
138,ENSG00000004897,CDC27,ENSMUSG00000020687,Cdc27,ENSDARG00000056258,cdc27,0,0,0,0,0,1,0
139,ENSG00000163171,CDC42EP3,ENSMUSG00000036533,Cdc42ep3,ENSDARG00000052783,cdc42ep3,0,0,0,0,0,1,0
140,ENSG00000093009,CDC45,ENSMUSG00000000028,Cdc45,ENSDARG00000043720,cdc45,0,0,0,1,1,0,0
141,ENSG00000094804,CDC6,ENSMUSG00000017499,Cdc6,ENSDARG00000009942,cdc6,0,0,0,1,1,0,0
142,ENSG00000184661,CDCA2,ENSMUSG00000048922,Cdca2,ENSDARG00000068759,si:ch211-244o22.2,0,0,0,0,1,1,0
143,ENSG00000111665,CDCA3,ENSMUSG00000023505,Cdca3,ENSDARG00000070656,cdca3,0,0,0,0,1,1,0
144,ENSG00000170779,CDCA4,ENSMUSG00000047832,Cdca4,ENSDARG00000042319,cdca4,0,0,0,1,1,0,0
145,ENSG00000146670,CDCA5,ENSMUSG00000024791,Cdca5,ENSDARG00000044437,cdca5,0,0,0,0,1,0,0
146,ENSG00000144354,CDCA7,ENSMUSG00000055612,Cdca7,ENSDARG00000077620,cdca7a,0,0,0,1,0,0,0
147,ENSG00000164649,CDCA7L,ENSMUSG00000021175,Cdca7l,ENSDARG00000076659,cdca7b,0,0,0,1,0,0,0
148,ENSG00000134690,CDCA8,ENSMUSG00000028873,Cdca8,ENSDARG00000043137,cdca8,0,0,0,0,0,1,0
149,ENSG00000170558,CDH2,ENSMUSG00000024304,Cdh2,ENSDARG00000018693,cdh2,1,0,0,0,0,0,0
150,ENSG00000170312,CDK1,ENSMUSG00000019942,Cdk1,ENSDARG00000087554,cdk1,0,0,0,0,1,1,0
151,ENSG00000123374,CDK2,ENSMUSG00000025358,Cdk2,ENSDARG00000026577,cdk2,0,0,0,0,1,0,0
152,ENSG00000135446,CDK4,ENSMUSG00000006728,Cdk4,ENSDARG00000087937,cdk4,0,0,0,1,1,0,0
153,ENSG00000136861,CDK5RAP2,ENSMUSG00000039298,Cdk5rap2,ENSDARG00000024219,cdk5rap2,0,0,0,0,0,1,0
154,ENSG00000124762,CDKN1A,ENSMUSG00000023067,Cdkn1a,ENSDARG00000076554,cdkn1a,0,0,0,0,1,0,0
155,ENSG00000123080,CDKN2C,ENSMUSG00000028551,Cdkn2c,ENSDARG00000057610,cdkn2c,0,0,0,0,1,1,0
156,ENSG00000129355,CDKN2D,ENSMUSG00000096472,Cdkn2d,ENSDARG00000094176,cdkn2d,0,0,0,0,1,0,0
157,ENSG00000100526,CDKN3,ENSMUSG00000037628,Cdkn3,ENSDARG00000039130,cdkn3,0,0,0,0,1,1,1
158,ENSG00000167513,CDT1,ENSMUSG00000006585,Cdt1,ENSDARG00000051854,cdt1,0,0,0,0,1,0,0
159,ENSG00000115816,CEBPZ,ENSMUSG00000024081,Cebpz,ENSDARG00000094486,si:ch1073-412h12.3,0,0,0,1,0,0,0
160,ENSG00000115816,CEBPZ,ENSMUSG00000024081,Cebpz,ENSDARG00000045857,cebpz,0,0,0,1,0,0,0
161,ENSG00000115163,CENPA,ENSMUSG00000029177,Cenpa,ENSDARG00000093022,selenoh,0,0,0,0,1,1,0
162,ENSG00000138778,CENPE,ENSMUSG00000045328,Cenpe,ENSDARG00000063385,cenpe,0,0,0,0,1,1,0
163,ENSG00000117724,CENPF,ENSMUSG00000026605,Cenpf,ENSDARG00000055133,cenpf,0,0,0,0,1,1,0
164,ENSG00000153044,CENPH,ENSMUSG00000045273,Cenph,ENSDARG00000094892,cenph,0,0,0,0,1,1,0
165,ENSG00000123219,CENPK,ENSMUSG00000021714,Cenpk,ENSDARG00000039616,cenpk,0,0,0,1,1,1,0
166,ENSG00000100162,CENPM,ENSMUSG00000068101,Cenpm,ENSDARG00000024681,pane1,0,0,0,1,1,1,0
167,ENSG00000166451,CENPN,ENSMUSG00000031756,Cenpn,ENSDARG00000043640,cenpn,0,0,0,0,1,1,1
168,ENSG00000291964,CENPN,ENSMUSG00000031756,Cenpn,missing,missing,0,0,0,0,1,1,1
169,ENSG00000151725,CENPU,ENSMUSG00000031629,Cenpu,ENSDARG00000088924,cenpu,0,0,0,1,1,1,0
170,ENSG00000166582,CENPV,ENSMUSG00000018509,Cenpv,ENSDARG00000092285,cenpv,0,0,0,1,1,0,0
171,ENSG00000203760,CENPW,ENSMUSG00000075266,Cenpw,missing,missing,0,0,0,0,1,1,0
172,ENSG00000169689,CENPX,missing29,missing29,ENSDARG00000089291,cenpx,0,0,0,0,0,0,0
173,ENSG00000276914,CEP20,ENSMUSG00000022677,Cep20,missing,missing,0,0,0,0,0,0,0
174,ENSG00000133393,CEP20,ENSMUSG00000022677,Cep20,ENSDARG00000071198,cep20,0,0,0,0,0,0,0
175,ENSG00000138180,CEP55,ENSMUSG00000024989,Cep55,ENSDARG00000102349,cep55l,0,0,0,0,1,1,0
176,ENSG00000114107,CEP70,ENSMUSG00000056267,Cep70,ENSDARG00000076965,cep70,0,0,0,0,0,1,0
177,ENSG00000148019,CEP78,ENSMUSG00000041491,Cep78,ENSDARG00000039229,cep78,0,0,0,0,1,0,0
178,ENSG00000070761,CFAP20,ENSMUSG00000031796,Cfap20,ENSDARG00000100514,cfap20,0,0,0,0,0,0,0
179,ENSG00000163320,CGGBP1,ENSMUSG00000054604,Cggbp1,missing,missing,0,0,0,0,0,1,0
180,ENSG00000167670,CHAF1A,ENSMUSG00000002835,Chaf1a,ENSDARG00000062152,chaf1a,0,0,0,1,0,0,0
181,ENSG00000106153,CHCHD2,ENSMUSG00000070493,Chchd2,ENSDARG00000059304,chchd2,0,0,0,0,1,1,0
182,ENSG00000106554,CHCHD3,ENSMUSG00000053768,Chchd3,ENSDARG00000032919,chchd3a,0,0,0,0,1,0,0
183,ENSG00000106554,CHCHD3,ENSMUSG00000053768,Chchd3,ENSDARG00000034933,chchd3b,0,0,0,0,1,0,0
184,ENSG00000149554,CHEK1,ENSMUSG00000032113,Chek1,ENSDARG00000104765,chek1,0,0,0,1,0,0,0
185,ENSG00000104472,CHRAC1,ENSMUSG00000068391,Chrac1,missing,missing,0,0,0,0,1,0,0
186,ENSG00000163507,CIP2A,ENSMUSG00000033031,Cip2a,ENSDARG00000058260,cip2a,0,0,0,0,0,0,0
187,ENSG00000099622,CIRBP,ENSMUSG00000045193,Cirbp,missing,missing,1,0,0,0,0,0,0
188,ENSG00000145354,CISD2,ENSMUSG00000028165,Cisd2,ENSDARG00000052703,cisd2,0,0,0,1,1,0,0
189,ENSG00000125931,CITED1,ENSMUSG00000051159,Cited1,ENSDARG00000077769,cited1,1,0,0,0,0,0,0
190,ENSG00000164442,CITED2,ENSMUSG00000039910,Cited2,ENSDARG00000030905,cited2,0,0,1,0,0,0,0
191,ENSG00000136108,CKAP2,ENSMUSG00000037725,Ckap2,ENSDARG00000086112,si:ch211-266i6.3,0,0,0,0,1,1,0
192,ENSG00000169607,CKAP2L,ENSMUSG00000048327,Ckap2l,ENSDARG00000100573,ckap2l,0,0,0,0,1,1,0
193,ENSG00000175216,CKAP5,ENSMUSG00000040549,Ckap5,ENSDARG00000102674,ckap5,0,0,0,0,0,1,0
194,ENSG00000166165,CKB,ENSMUSG00000001270,Ckb,ENSDARG00000043257,ckbb,0,0,0,0,0,0,1
195,ENSG00000166165,CKB,ENSMUSG00000001270,Ckb,ENSDARG00000069752,ckba,0,0,0,0,0,0,1
196,ENSG00000217555,CKLF,ENSMUSG00000054400,Cklf,missing,missing,0,0,0,1,1,0,0
197,ENSG00000173207,CKS1B,ENSMUSG00000028044,Cks1b,ENSDARG00000007971,cks1b,0,0,0,0,1,1,0
198,ENSG00000123975,CKS2,ENSMUSG00000062248,Cks2,ENSDARG00000117089,CKS2,0,0,0,0,1,1,0
199,ENSG00000080822,CLDND1,ENSMUSG00000022744,Cldnd1,ENSDARG00000104439,cldnd1a,1,0,0,0,0,0,0
200,ENSG00000080822,CLDND1,ENSMUSG00000022744,Cldnd1,ENSDARG00000052386,cldnd1b,1,0,0,0,0,0,0
201,ENSG00000213719,CLIC1,ENSMUSG00000007041,Clic1,ENSDARG00000103340,clic1,0,0,0,0,1,1,0
202,ENSG00000226417,CLIC1,ENSMUSG00000007041,Clic1,missing,missing,0,0,0,0,1,1,0
203,ENSG00000206394,CLIC1,ENSMUSG00000007041,Clic1,missing,missing,0,0,0,0,1,1,0
204,ENSG00000226651,CLIC1,ENSMUSG00000007041,Clic1,missing,missing,0,0,0,0,1,1,0
205,ENSG00000230685,CLIC1,ENSMUSG00000007041,Clic1,missing,missing,0,0,0,0,1,1,0
206,ENSG00000226248,CLIC1,ENSMUSG00000007041,Clic1,missing,missing,0,0,0,0,1,1,0
207,ENSG00000223639,CLIC1,ENSMUSG00000007041,Clic1,missing,missing,0,0,0,0,1,1,0
208,ENSG00000092853,CLSPN,ENSMUSG00000042489,Clspn,missing,missing,0,0,0,1,1,0,0
209,ENSG00000120885,CLU,ENSMUSG00000022037,Clu,ENSDARG00000010434,clu,1,1,0,0,0,0,0
210,ENSG00000291948,CMC2,missing40,missing40,missing,missing,0,0,0,1,1,1,0
211,ENSG00000103121,CMC2,missing40,missing40,ENSDARG00000043635,cmc2,0,0,0,1,1,1,0
212,ENSG00000184220,CMSS1,ENSMUSG00000022748,Cmss1,ENSDARG00000112579,cmss1,0,0,0,0,1,1,0
213,ENSG00000153551,CMTM7,ENSMUSG00000032436,Cmtm7,ENSDARG00000010032,cmtm7,0,1,0,0,0,0,0
214,ENSG00000143771,CNIH4,ENSMUSG00000062169,Cnih4,ENSDARG00000087759,cnih4,0,0,0,0,0,1,0
215,ENSG00000117519,CNN3,ENSMUSG00000053931,Cnn3,ENSDARG00000029856,cnn3b,0,0,1,0,0,0,0
216,ENSG00000117519,CNN3,ENSMUSG00000053931,Cnn3,ENSDARG00000099510,cnn3a,0,0,1,0,0,0,0
217,ENSG00000173786,CNP,ENSMUSG00000006782,Cnp,ENSDARG00000070822,cnp,1,0,0,0,0,0,0
218,ENSG00000257727,CNPY2,ENSMUSG00000025381,Cnpy2,missing,missing,1,0,0,0,0,0,0
219,ENSG00000106603,COA1,missing18,missing18,ENSDARG00000076360,coa1,0,0,0,0,1,0,0
220,ENSG00000092758,COL9A3,missing5,missing5,missing,missing,1,0,0,0,0,0,0
221,ENSG00000140365,COMMD4,ENSMUSG00000032299,Commd4,ENSDARG00000061946,commd4,0,0,0,0,1,0,0
